Organism,Speed (um/s)
Spirostomum,61
Spirostomum,83
Spirostomum,42
Spirostomum,49
Spirostomum,42
Spirostomum,71
Spirostomum,54
Spirostomum,112
Spirostomum,75
Spirostomum,86
Spirostomum,109
Spirostomum,53
Spirostomum,67
Spirostomum,38
Spirostomum,55
Spirostomum,71
Spirostomum,51
Spirostomum,51
Spirostomum,49
Spirostomum,32
Spirostomum,57
Spirostomum,84
Spirostomum,60
Spirostomum,60
Spirostomum,124
Spirostomum,32
Spirostomum,71
Spirostomum,40
Spirostomum,49
Spirostomum,59
Spirostomum,33
Spirostomum,213
Spirostomum,50
Spirostomum,133
Spirostomum,42
Spirostomum,118
Spirostomum,33
Spirostomum,56
Spirostomum,101
Spirostomum,64
Spirostomum,98
Spirostomum,287
Spirostomum,100
Spirostomum,156
Spirostomum,77
Spirostomum,51
Spirostomum,59
Spirostomum,83
Spirostomum,162
Spirostomum,30
Spirostomum,29
Spirostomum,73
Spirostomum,69
Spirostomum,74
Spirostomum,65
Spirostomum,86
Spirostomum,49
Spirostomum,46
Spirostomum,62
Spirostomum,79
Spirostomum,71
Spirostomum,71
Spirostomum,67
Spirostomum,59
Spirostomum,67
Spirostomum,50
Spirostomum,42
Spirostomum,28
Spirostomum,116
Spirostomum,95
Spirostomum,91
Spirostomum,68
Spirostomum,44
Spirostomum,63
Spirostomum,90
Spirostomum,49
Spirostomum,45
Spirostomum,72
Spirostomum,34
Spirostomum,258
Spirostomum,61
Spirostomum,102
Spirostomum,63
Spirostomum,88
Spirostomum,45
Spirostomum,84
Spirostomum,154
Spirostomum,32
Spirostomum,68
Spirostomum,45
Spirostomum,61
Spirostomum,212
Spirostomum,158
Spirostomum,100
Spirostomum,147
Spirostomum,185
Spirostomum,106
Spirostomum,42
Spirostomum,50
Spirostomum,50
Spirostomum,36
Spirostomum,56
Spirostomum,32
Spirostomum,33
Spirostomum,42
Spirostomum,33
Spirostomum,44
Spirostomum,53
Spirostomum,59
Spirostomum,31
Spirostomum,39
Spirostomum,91
Spirostomum,93
Spirostomum,69
Spirostomum,64
Spirostomum,51
Spirostomum,40
Spirostomum,91
Spirostomum,45
Spirostomum,103
Spirostomum,38
Spirostomum,56
Spirostomum,68
Spirostomum,182
Spirostomum,65
Spirostomum,67
Spirostomum,59
Spirostomum,125
Spirostomum,229
Spirostomum,105
Spirostomum,141
Spirostomum,66
Spirostomum,55
Spirostomum,47
Spirostomum,91
Spirostomum,83
Spirostomum,77
Spirostomum,79
Spirostomum,57
Spirostomum,81
Spirostomum,189
Spirostomum,117
Spirostomum,169
Spirostomum,141
Spirostomum,66
Spirostomum,117
Spirostomum,83
Spirostomum,173
Spirostomum,128
Spirostomum,118
Spirostomum,91
Spirostomum,40
Spirostomum,63
Spirostomum,43
Spirostomum,146
Spirostomum,20
Spirostomum,89
Spirostomum,67
Spirostomum,74
Spirostomum,86
Spirostomum,141
Spirostomum,59
Spirostomum,63
Spirostomum,81
Spirostomum,74
Spirostomum,98
Spirostomum,106
Spirostomum,62
Spirostomum,53
Spirostomum,280
Spirostomum,305
Spirostomum,121
Spirostomum,90
Spirostomum,147
Spirostomum,167
Spirostomum,133
Spirostomum,100
Spirostomum,106
Spirostomum,177
Spirostomum,91
Spirostomum,104
Spirostomum,115
Spirostomum,181
Spirostomum,69
Spirostomum,211
Spirostomum,88
Spirostomum,83
Spirostomum,74
Spirostomum,52
Spirostomum,124
Spirostomum,190
Spirostomum,97
Spirostomum,123
Spirostomum,84
Spirostomum,219
Spirostomum,192
Spirostomum,160
Spirostomum,90
Spirostomum,162
Spirostomum,104
Spirostomum,145
Spirostomum,165
Spirostomum,122
Spirostomum,105
Spirostomum,299
Spirostomum,163
Spirostomum,35
Spirostomum,184
Spirostomum,106
Spirostomum,112
Spirostomum,156
Spirostomum,116
Spirostomum,91
Spirostomum,61
Spirostomum,56
Spirostomum,63
Spirostomum,94
Spirostomum,88
Spirostomum,186
Spirostomum,139
Spirostomum,484
Spirostomum,462
Spirostomum,188
Spirostomum,105
Spirostomum,141
Spirostomum,205
Spirostomum,319
Spirostomum,319
Spirostomum,81
Spirostomum,156
Spirostomum,212
Spirostomum,126
Spirostomum,179
Spirostomum,169
Spirostomum,38
Spirostomum,38
Bursaria,508
Bursaria,153
Bursaria,87
Bursaria,595
Bursaria,296
Bursaria,182
Bursaria,364
Bursaria,391
Bursaria,518
Bursaria,271
Bursaria,416
Bursaria,427
Bursaria,109
Bursaria,547
Bursaria,274
Bursaria,404
Bursaria,96
Bursaria,236
Bursaria,359
Bursaria,392
Bursaria,304
Bursaria,348
Bursaria,211
Bursaria,601
Bursaria,140
Bursaria,368
Bursaria,342
Bursaria,67
Bursaria,415
Bursaria,139
Bursaria,780
Bursaria,724
Bursaria,545
Bursaria,953
Bursaria,350
Bursaria,296
Bursaria,801
Bursaria,712
Bursaria,730
Bursaria,97
Bursaria,647
Bursaria,120
Bursaria,443
Bursaria,361
Bursaria,900
Bursaria,369
Bursaria,270
Bursaria,127
Bursaria,562
Bursaria,427
Bursaria,506
Bursaria,141
Bursaria,656
Bursaria,673
Bursaria,560
Bursaria,192
Bursaria,1329
Bursaria,755
Bursaria,310
Bursaria,318
Bursaria,732
Bursaria,710
Bursaria,136
Bursaria,544
Bursaria,658
Bursaria,485
Bursaria,789
Bursaria,526
Bursaria,95
Bursaria,562
Bursaria,449
Bursaria,405
Bursaria,315
Bursaria,486
Bursaria,239
Bursaria,502
Bursaria,736
Bursaria,380
Bursaria,181
Bursaria,277
Bursaria,288
Bursaria,434
Bursaria,138
Bursaria,751
Bursaria,135
Bursaria,620
Bursaria,102
Bursaria,128
Bursaria,485
Bursaria,150
Bursaria,71
Bursaria,406
Bursaria,212
Bursaria,225
Bursaria,333
Bursaria,721
Bursaria,260
Bursaria,826
Bursaria,623
Bursaria,663
Bursaria,320
Bursaria,425
Bursaria,283
Bursaria,402
Bursaria,891
Bursaria,381
Bursaria,403
Bursaria,256
Bursaria,217
Bursaria,78
Bursaria,150
Bursaria,1018
Bursaria,958
Bursaria,256
Bursaria,136
Bursaria,174
Bursaria,544
Bursaria,186
Bursaria,248
Bursaria,353
Bursaria,1119
Bursaria,734
Bursaria,558
Bursaria,564
Bursaria,305
Bursaria,87
Bursaria,352
Bursaria,1243
Bursaria,780
Bursaria,207
Bursaria,207
Bursaria,843
Bursaria,348
Bursaria,235
Bursaria,93
Bursaria,922
Bursaria,980
Bursaria,603
Bursaria,422
Bursaria,321
Bursaria,492
Bursaria,452
Bursaria,350
Bursaria,565
Bursaria,272
Bursaria,310
Bursaria,824
Bursaria,472
Bursaria,517
Bursaria,453
Bursaria,304
Bursaria,560
Bursaria,172
Bursaria,135
Bursaria,298
Bursaria,523
Bursaria,138
Bursaria,251
Bursaria,505
Bursaria,68
Bursaria,200
Bursaria,194
Bursaria,372
Bursaria,362
Bursaria,574
Bursaria,283
Bursaria,301
Bursaria,153
Bursaria,686
Bursaria,315
Bursaria,330
Bursaria,554
Bursaria,656
Bursaria,227
Bursaria,319
Bursaria,346
Bursaria,189
Bursaria,523
Bursaria,120
Bursaria,372
Bursaria,406
Bursaria,570
Bursaria,230
Bursaria,300
Bursaria,152
Bursaria,287
Bursaria,132
Bursaria,380
Bursaria,173
Bursaria,232
Bursaria,389
Bursaria,734
Bursaria,650
Bursaria,638
Bursaria,462
Bursaria,99
Bursaria,282
Bursaria,290
Bursaria,994
Bursaria,451
Bursaria,758
Bursaria,301
Bursaria,1033
Bursaria,386
Bursaria,290
Bursaria,355
Bursaria,126
Bursaria,457
Bursaria,209
Bursaria,296
Bursaria,704
Bursaria,81
Bursaria,781
Bursaria,90
Bursaria,433
Bursaria,463
Bursaria,184
Bursaria,874
Bursaria,446
Bursaria,1028
Bursaria,174
Bursaria,107
Bursaria,915
Bursaria,418
Bursaria,302
Bursaria,341
Bursaria,111
Bursaria,654
Bursaria,634
Bursaria,77
Bursaria,405
Bursaria,189
Bursaria,423
Bursaria,647
Bursaria,393
Bursaria,217
Bursaria,608
Bursaria,639
Bursaria,231
Bursaria,462
Bursaria,258
Bursaria,396
Bursaria,385
Bursaria,575
Bursaria,360
Bursaria,170
Bursaria,83
Bursaria,766
Bursaria,659
Bursaria,263
Bursaria,738
Bursaria,529
Bursaria,251
Bursaria,360
Bursaria,276
Bursaria,139
Bursaria,787
Bursaria,392
Bursaria,657
Bursaria,112
Bursaria,1152
Bursaria,1077
Bursaria,198
Bursaria,430
Bursaria,443
Bursaria,1114
Bursaria,215
Bursaria,445
Bursaria,308
Bursaria,99
Bursaria,166
Bursaria,1096
Bursaria,450
Bursaria,918
Bursaria,502
Bursaria,292
Bursaria,575
Bursaria,79
Bursaria,180
Bursaria,230
Bursaria,619
Bursaria,442
Bursaria,332
Bursaria,361
Bursaria,230
Bursaria,469
Bursaria,890
Bursaria,484
Bursaria,439
Bursaria,546
Bursaria,491
Bursaria,343
Bursaria,1035
Bursaria,155
Bursaria,501
Bursaria,157
Bursaria,533
Bursaria,495
Bursaria,623
Bursaria,176
Bursaria,217
Bursaria,787
Bursaria,293
Bursaria,878
Bursaria,991
Bursaria,154
Bursaria,225
Bursaria,507
Bursaria,229
Bursaria,703
Bursaria,240
Bursaria,594
Bursaria,343
Bursaria,734
Bursaria,399
Bursaria,503
Bursaria,300
Bursaria,644
Bursaria,414
Bursaria,1003
Bursaria,93
Bursaria,534
Bursaria,113
Bursaria,111
Bursaria,733
Bursaria,291
Bursaria,196
Bursaria,59
Bursaria,883
Bursaria,115
Bursaria,590
Bursaria,181
Bursaria,1047
Bursaria,812
Bursaria,503
Bursaria,169
Bursaria,743
Blepharisma,90
Blepharisma,141
Blepharisma,169
Blepharisma,214
Blepharisma,258
Blepharisma,208
Blepharisma,289
Blepharisma,211
Blepharisma,249
Blepharisma,194
Blepharisma,286
Blepharisma,294
Blepharisma,365
Blepharisma,335
Blepharisma,399
Blepharisma,386
Blepharisma,461
Blepharisma,460
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,381
Blepharisma,305
Blepharisma,305
Blepharisma,381
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,469
Blepharisma,418
Blepharisma,421
Blepharisma,314
Blepharisma,367
Blepharisma,364
Blepharisma,388
Blepharisma,388
Blepharisma,263
Blepharisma,336
Blepharisma,338
Blepharisma,336
Blepharisma,339
Blepharisma,264
Blepharisma,394
Blepharisma,388
Blepharisma,510
Blepharisma,507
Blepharisma,507
Blepharisma,463
Blepharisma,488
Blepharisma,407
Blepharisma,407
Blepharisma,385
Blepharisma,466
Blepharisma,460
Blepharisma,457
Blepharisma,339
Blepharisma,262
Blepharisma,173
Blepharisma,220
Blepharisma,220
Blepharisma,222
Blepharisma,294
Blepharisma,294
Blepharisma,336
Blepharisma,336
Blepharisma,413
Blepharisma,382
Blepharisma,301
Blepharisma,307
Blepharisma,306
Blepharisma,285
Blepharisma,169
Blepharisma,144
Blepharisma,145
Blepharisma,124
Blepharisma,123
Blepharisma,97
Blepharisma,129
Blepharisma,91
Blepharisma,92
Blepharisma,71
Blepharisma,109
Blepharisma,122
Blepharisma,109
Blepharisma,78
Blepharisma,88
Blepharisma,147
Blepharisma,166
Blepharisma,136
Blepharisma,103
Blepharisma,106
Blepharisma,152
Blepharisma,201
Blepharisma,311
Blepharisma,320
Blepharisma,381
Blepharisma,381
Blepharisma,457
Blepharisma,399
Blepharisma,310
Blepharisma,206
Blepharisma,134
Blepharisma,150
Blepharisma,177
Blepharisma,308
Blepharisma,282
Blepharisma,285
Blepharisma,153
Blepharisma,118
Blepharisma,115
Blepharisma,134
Blepharisma,164
Blepharisma,164
Blepharisma,129
Blepharisma,111
Blepharisma,44
Blepharisma,90
Blepharisma,74
Blepharisma,116
Blepharisma,218
Blepharisma,228
Blepharisma,256
Blepharisma,256
Blepharisma,384
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,488
Blepharisma,443
Blepharisma,371
Blepharisma,366
Blepharisma,353
Blepharisma,433
Blepharisma,411
Blepharisma,400
Blepharisma,400
Blepharisma,406
Blepharisma,408
Blepharisma,403
Blepharisma,319
Blepharisma,300
Blepharisma,211
Blepharisma,288
Blepharisma,374
Blepharisma,464
Blepharisma,392
Blepharisma,392
Blepharisma,387
Blepharisma,458
Blepharisma,383
Blepharisma,391
Blepharisma,346
Blepharisma,437
Blepharisma,437
Blepharisma,481
Blepharisma,363
Blepharisma,229
Blepharisma,163
Blepharisma,204
Blepharisma,286
Blepharisma,267
Blepharisma,226
Blepharisma,142
Blepharisma,161
Blepharisma,262
Blepharisma,391
Blepharisma,381
Blepharisma,246
Blepharisma,145
Blepharisma,176
Blepharisma,267
Blepharisma,287
Blepharisma,180
Blepharisma,86
Blepharisma,98
Blepharisma,251
Blepharisma,392
Blepharisma,464
Blepharisma,463
Blepharisma,460
Blepharisma,357
Blepharisma,299
Blepharisma,235
Blepharisma,232
Blepharisma,165
Blepharisma,127
Blepharisma,127
Blepharisma,151
Blepharisma,180
Blepharisma,208
Blepharisma,312
Blepharisma,289
Blepharisma,293
Blepharisma,293
Blepharisma,388
Blepharisma,460
Blepharisma,374
Blepharisma,374
Blepharisma,261
Blepharisma,246
Blepharisma,120
Blepharisma,161
Blepharisma,259
Blepharisma,309
Blepharisma,386
Blepharisma,342
Blepharisma,344
Blepharisma,355
Blepharisma,403
Blepharisma,401
Blepharisma,386
Blepharisma,307
Blepharisma,383
Blepharisma,383
Blepharisma,383
Blepharisma,384
Blepharisma,304
Blepharisma,385
Blepharisma,387
Blepharisma,370
Blepharisma,370
Blepharisma,368
Blepharisma,395
Blepharisma,324
Blepharisma,341
Blepharisma,415
Blepharisma,484
Blepharisma,466
Blepharisma,463
Blepharisma,460
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,459
Blepharisma,470
Blepharisma,390
Blepharisma,318
Blepharisma,238
Blepharisma,197
Blepharisma,138
Blepharisma,207
Blepharisma,328
Blepharisma,381
Blepharisma,308
Blepharisma,214
Blepharisma,215
Blepharisma,180
Blepharisma,275
Blepharisma,349
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,457
Blepharisma,459
Blepharisma,462
Blepharisma,462
Blepharisma,462
Blepharisma,374
Blepharisma,301
Blepharisma,300
Blepharisma,309
Blepharisma,381
Blepharisma,267
Blepharisma,191