Locomotion,Speed (um/s)
swim,12.933
swim,14.212
swim,14.212
swim,25.93
swim,26.941
swim,26.209
swim,21.718
swim,22.93
swim,36.866
swim,35.855
swim,31.296
swim,34.485
swim,35.939
swim,35.939
swim,36.918
swim,37.268
swim,27.607
swim,20.179
swim,19.508
swim,15.861
swim,15.461
swim,15.489
swim,15.758
swim,21.636
swim,20.213
swim,26.875
swim,27.906
swim,24.255
swim,28.46
swim,38.036
swim,36.258
swim,32.491
swim,32.131
swim,28.872
swim,27.858
swim,22.717
swim,24.905
swim,28.725
swim,25.41
swim,15.981
swim,16.487
swim,15.656
swim,15.037
swim,17.508
swim,15.987
swim,12.768
swim,16.058
swim,18.287
swim,20.557
swim,20.207
swim,27.527
swim,21.648
swim,22.221
swim,23.53
swim,23.935
swim,24.556
swim,17.475
swim,15.943
swim,15.042
swim,20.171
swim,15.658
swim,20.006
swim,22.139
swim,24.163
swim,26.627
swim,29.905
swim,34.302
swim,35.599
swim,34.23
swim,29.101
swim,26.294
swim,22.957
swim,23.893
swim,22.112
swim,23.346
swim,20.672
swim,20.541
swim,18.041
swim,20.774
swim,21.647
swim,23.443
swim,24.652
swim,21.01
swim,20.559
swim,19.461
swim,21.94
swim,20.21
swim,22.706
swim,22.69
swim,23.086
swim,23.231
swim,23.458
swim,29.624
swim,35.276
swim,33.165
swim,31.497
swim,33.537
swim,33.027
swim,32.838
swim,31.569
swim,29.855
swim,27.408
swim,22.14
swim,16.364
swim,15.112
swim,15.063
swim,12.084
swim,15.655
swim,16.108
swim,19.477
swim,18.33
swim,16.343
swim,16.624
swim,19.347
swim,15.513
swim,16.538
swim,17.289
swim,14.369
swim,14.463
swim,13.549
swim,18.129
swim,16.55
swim,19.485
swim,20.62
swim,20.578
swim,25.82
swim,25.971
swim,27.508
swim,28.906
swim,27.1
swim,22.701
swim,23.162
swim,18.988
swim,16.265
swim,15.359
swim,12.132
swim,12.132
swim,12.536
swim,13.105
swim,15.436
swim,14.936
swim,13.21
swim,12.108
swim,14.232
swim,16.335
swim,14.733
swim,14.153
swim,13.672
swim,19.108
swim,23.489
swim,24.134
swim,24.204
swim,25.231
swim,22.066
swim,19.628
swim,18.899
swim,20.377
swim,19.886
swim,14.483
swim,16.825
swim,15.196
swim,13.304
swim,13.046
swim,14.351
swim,20.091
swim,20.859
swim,25.163
swim,23.674
swim,26.408
swim,24.797
swim,29.499
swim,29.886
swim,31.828
swim,30.59
swim,28.667
swim,28.913
swim,24.92
swim,26.463
swim,23.179
swim,20.304
swim,16.152
swim,21.167
swim,20.207
swim,19.354
swim,19.405
swim,17.998
swim,18.093
swim,18.589
swim,19.544
swim,20.451
swim,25.603
swim,21.837
swim,21.635
swim,30.474
swim,25.935
swim,24.939
swim,29.207
swim,26.362
swim,25.291
swim,29.837
swim,24.792
swim,23.469
swim,23.455
swim,15.831
swim,16.764
swim,18.534
swim,17.611
swim,18.924
swim,22.151
swim,19.226
swim,18.569
swim,20.361
swim,22.107
swim,24.88
swim,25.618
swim,24.948
swim,22.873
swim,23.976
swim,21.348
swim,23.282
swim,30.179
swim,30.223
swim,28.155
swim,24.901
swim,26.594
swim,26.875
swim,25.245
swim,22.829
swim,25.245
swim,35.696
swim,33.603
swim,33.167
swim,33.209
swim,35.179
swim,33.069
swim,35.025
swim,35.006
swim,36.571
swim,32.026
swim,19.973
swim,15.741
swim,14.028
swim,14.298
swim,12.815
swim,12.621
swim,13.936
swim,14.046
swim,13.337
swim,12.988
swim,14.065
swim,15.893
swim,13.827
swim,15.438
swim,14.931
swim,16.102
swim,15.259
swim,15.953
swim,15.843
swim,15.706
swim,13.767
swim,12.289
swim,17.078
swim,18.245
swim,20.695
swim,21.704
swim,20.152
swim,19.55
swim,20.323
swim,20.16
swim,19.675
swim,20.03
swim,15.2
swim,17.448
swim,15.53
swim,16.394
swim,18.996
swim,22.16
swim,21.173
swim,22.096
swim,21.927
swim,20.65
swim,19.08
swim,18.049
swim,19.93
swim,17.326
swim,14.97
swim,13.382
swim,13.995
swim,13.407
swim,18.665
swim,21.587
swim,22.725
swim,24.673
swim,29.039
swim,33.668
swim,37.328
swim,35.717
swim,31.979
swim,32.6
swim,28.608
swim,26.585
swim,27.465
swim,22.056
swim,17.983
swim,13.913
swim,13.719
swim,12.453
swim,14.806
swim,12.943
swim,12.675
swim,14.171
swim,17.869
swim,27.942
swim,30.943
swim,34.943
swim,38.141
swim,31.891
swim,37.453
swim,39.023
swim,39.417
swim,34.752
swim,32.095
swim,21.755
swim,18.754
swim,14.754
swim,17.346
swim,17.346
swim,17.346
swim,19.324
swim,25.928
swim,30.596
swim,33.79
swim,33.322
swim,37.35
swim,36.679
swim,39.79
swim,39.473
swim,32.869
swim,14.675
swim,15.157
swim,23.365
swim,24.401
swim,24.346
swim,26.019
swim,25.235
swim,27.973
swim,28.504
swim,24.895
swim,26.819
swim,32.956
swim,25.551
swim,29.45
swim,28.879
swim,29.995
swim,29.572
swim,26.226
swim,23.52
swim,20.892
swim,17.658
swim,15.259
swim,15.538
swim,15.538
swim,15.538
swim,15.538
swim,15.538
swim,12.714
swim,24.092
swim,24.092
swim,26.237
swim,26.237
swim,26.463
swim,27.73
swim,38.501
swim,32.168
swim,36.512
swim,34.367
swim,35.247
swim,36.109
swim,38.915
swim,30.437
swim,25.069
swim,22.397
swim,20.094
swim,22.454
swim,19.604
swim,20.295
swim,19.999
swim,19.301
swim,14.623
swim,13.306
swim,14.008
swim,14.037
swim,13.801
swim,16.488
swim,19.6
swim,21.565
swim,21.292
swim,20.491
swim,29.467
swim,28.492
swim,29.158
swim,29.379
swim,28.988
swim,29.277
swim,26.165
swim,25.087
swim,24.687
swim,24.255
swim,14.823
swim,15.209
swim,15.391
swim,15.197
swim,13.983
swim,14.177
swim,24.636
swim,34.601
swim,36.093
swim,40.343
swim,36.325
swim,32.67
swim,39.122
swim,32.138
swim,20.871
swim,21.209
swim,16.959
swim,17.483
swim,22.486
swim,18.24
swim,12.34
swim,15.021
swim,15.021
swim,17.893
swim,18.098
swim,16.268
swim,16.268
swim,18.844
swim,13.841
swim,12.684
swim,12.684
swim,13.785
swim,13.785
swim,13.785
swim,19.172
swim,30.713
swim,30.713
swim,30.713
swim,30.713
swim,31.935
swim,29.254
swim,32.103
swim,32.103
swim,32.103
swim,21.862
swim,12.647
swim,12.647
swim,12.647
swim,12.647
swim,15.932
swim,16.764
swim,16.764
swim,25.708
swim,23.907
swim,18.909
swim,19.048
swim,18.433
swim,18.115
swim,18.115
swim,19.881
swim,19.049
swim,26.109
swim,17.165
swim,14.421
swim,14.421
swim,12.197
swim,12.531
swim,18.096
swim,13.205
swim,13.205
swim,15.143
swim,15.793
swim,18.572
swim,17.992
swim,12.427
swim,17.191
swim,17.191
swim,12.188
swim,18.081
swim,22.62
swim,18.625
swim,19.622
swim,21.594
swim,22.04
swim,37.586
swim,36.242
swim,36.242
swim,40.244
swim,34.351
swim,29.812
swim,29.812
swim,28.165
swim,23.414
swim,22.968
swim,17.348
swim,15.221
swim,15.221
swim,16.865
swim,18.648
swim,22.353
swim,22.353
swim,26.096
swim,26.096
swim,23.695
swim,15.355
swim,12.725
swim,16.895
swim,15.722
swim,12.946
swim,14.857
swim,15.102
swim,16.452
swim,15.803
swim,15.803
swim,22.074
swim,26.093
swim,31.968
swim,36.883
swim,32.877
swim,29.351
swim,30.828
swim,26.394
swim,28.602
swim,32.31
swim,26.039
swim,22.02
swim,17.874
swim,13.714
swim,13.714
swim,12.898
swim,16.051
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,1.29525
crawl,1.29525
crawl,1.29525
crawl,1.29525
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.902
crawl,0.902
crawl,0.902
crawl,1.196
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,0.733
crawl,1.66225
crawl,1.66225
crawl,1.66225
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.49525
crawl,1.76325
crawl,1.76325
crawl,1.46925
crawl,1.36775
crawl,1.36775
crawl,1.36775
crawl,1.36775
crawl,1.47
crawl,1.47
crawl,1.47
crawl,1.47
crawl,1.2995
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.37525
crawl,1.4595
crawl,1.4595
crawl,2.5215
crawl,2.5215
crawl,2.5215
crawl,2.5215
crawl,3.9105
crawl,3.9105
crawl,3.9105
crawl,3.9105
crawl,3.2025
crawl,3.2025
crawl,3.2025
crawl,3.2025
crawl,3.2025
crawl,3.354
crawl,4.9135
crawl,4.9135
crawl,4.9135
crawl,4.9135
crawl,4.8215
crawl,4.8215
crawl,4.8215
crawl,4.8945
crawl,4.8945
crawl,4.8945
crawl,4.8945
crawl,4.79225
crawl,4.79225
crawl,4.79225
crawl,4.79225
crawl,4.79225
crawl,4.7165
crawl,4.7165
crawl,5.90525
crawl,5.90525
crawl,5.90525
crawl,5.90525
crawl,5.90525
crawl,6.03825
crawl,5.954
crawl,5.954
crawl,4.892
crawl,4.892
crawl,4.892
crawl,6.2785
crawl,4.8895
crawl,4.8895
crawl,4.99175
crawl,4.99175
crawl,5.084
crawl,5.084
crawl,5.084
crawl,5.084
crawl,5.084
crawl,5.82525
crawl,4.26575
crawl,4.41975
crawl,4.61575
crawl,4.61575
crawl,4.6775
crawl,4.6775
crawl,4.6775
crawl,4.9355
crawl,4.9355
crawl,4.9355
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,4.997
crawl,3.80825
crawl,3.93125
crawl,3.93125
crawl,4.08475
crawl,4.08475
crawl,4.072
crawl,4.20325
crawl,4.3345
crawl,4.3345
crawl,5.29575
crawl,5.29575
crawl,3.90925
crawl,3.90925
crawl,3.90925
crawl,4.0645
crawl,4.0645
crawl,3.751
crawl,3.751
crawl,3.751
crawl,4.22525
crawl,4.22525
crawl,3.3325
crawl,3.3325
crawl,3.2795
crawl,3.13175
crawl,3.41425
crawl,3.1765
crawl,3.1765
crawl,3.255
crawl,2.924
crawl,2.924
crawl,2.924
crawl,2.8625
crawl,4.7885
crawl,4.7885
crawl,4.7885
crawl,4.7885
crawl,4.86525
crawl,4.86525
crawl,4.942
crawl,5.146
crawl,5.023
crawl,5.023
crawl,4.8695
crawl,4.8695
crawl,4.74925
crawl,4.618
crawl,4.48675
crawl,4.48675
crawl,3.81175
crawl,3.81175
crawl,3.81175
crawl,3.81175
crawl,4.11375
crawl,3.85625
crawl,3.85625
crawl,3.8935
crawl,3.8935
crawl,3.8935
crawl,3.41925
crawl,3.41925
crawl,3.41925
crawl,3.41925
crawl,3.722
crawl,3.67375
crawl,3.39125
crawl,3.39125
crawl,3.65125
crawl,3.57275
crawl,3.57275
crawl,3.57275
crawl,3.57275
crawl,3.57275
crawl,1.64675
crawl,1.64675
crawl,1.64675
crawl,1.64675
crawl,1.57
crawl,1.57
crawl,1.49325
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.28925
crawl,1.003
crawl,1.003
crawl,1.1135
crawl,1.1135
crawl,0.8115
crawl,1.5265
crawl,2.3085
crawl,2.27125
crawl,2.27125
crawl,2.27125
crawl,3.65925
crawl,4.335
crawl,5.239
crawl,5.239
crawl,4.83525
crawl,5.61725
crawl,6.70425
crawl,7.4665
crawl,7.2065
crawl,7.2065
crawl,7.32675
crawl,7.32675
crawl,7.32675
crawl,7.32675
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,7.60475
crawl,8.10475
crawl,8.10475
crawl,8.10475
crawl,8.10475
crawl,8.10475
crawl,7.99425
crawl,7.99425
crawl,7.99425
crawl,8.15475
crawl,7.37275
crawl,7.37275
crawl,7.37275
crawl,8.1545
crawl,6.7665
crawl,6.09075
crawl,5.18675
crawl,5.18675
crawl,5.18675
crawl,4.40475
crawl,3.31775
crawl,2.5555
crawl,2.5555
crawl,2.69675
crawl,2.5765
crawl,2.5765
crawl,2.5765
crawl,2.5765
crawl,2.2985
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.55625
crawl,2.91825
crawl,3.5935
crawl,3.5935
crawl,3.5935
crawl,3.6635
crawl,3.6635
crawl,3.80225
crawl,3.80225
crawl,3.03975
crawl,3.03975
crawl,4.29225
crawl,4.48725
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.7055
crawl,3.8005
crawl,3.8005
crawl,3.8005
crawl,3.8005
crawl,3.65925
crawl,3.81525
crawl,3.81525
crawl,3.81525
crawl,3.90025
crawl,3.94
crawl,3.75475
crawl,3.75475
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.82275
crawl,3.8775
crawl,4.22125
crawl,4.41725
crawl,4.41725
crawl,3.55525
crawl,3.71875
crawl,3.71875
crawl,3.71875
crawl,3.64875
crawl,3.64875
crawl,3.51
crawl,3.579
crawl,3.466
crawl,3.68575
crawl,2.43325
crawl,2.933
crawl,2.933
crawl,2.933
crawl,3.52375
crawl,3.52375
crawl,3.52375
crawl,3.52375
crawl,4.62025
crawl,4.62025
crawl,4.62025
crawl,4.62025
crawl,4.62025
crawl,4.6725
crawl,4.6725
crawl,4.6725
crawl,5.36375
crawl,5.324
crawl,5.2515
crawl,5.2515
crawl,5.1835
crawl,5.85475
crawl,5.85475
crawl,5.85475
crawl,6.94075
crawl,6.94075
crawl,6.886
crawl,6.54225
crawl,7.1795
crawl,7.1795
crawl,7.76075
crawl,6.922
crawl,6.922
crawl,7.80125
crawl,8.80125
crawl,8.80125
crawl,8.80125
crawl,8.73225
crawl,9.359
crawl,9.13925
crawl,9.13925
crawl,8.4445
crawl,8.4445
crawl,8.4445
crawl,8.78
crawl,8.78
crawl,8.78
crawl,8.78
crawl,7.5885
crawl,7.5885
crawl,7.5885
crawl,8.37
crawl,9.296
crawl,10.2225
crawl,11.788
crawl,11.788
crawl,11.01175
crawl,11.01175
crawl,11.01175
crawl,11.4685
crawl,11.4685
crawl,10.79725
crawl,10.79725
crawl,10.79725
crawl,9.71125
crawl,9.71125
crawl,9.71125
crawl,9.71125
crawl,9.39075
crawl,9.39075
crawl,8.8095
crawl,8.8095
crawl,8.8095
crawl,7.98075
crawl,7.16325
crawl,7.16325
crawl,7.16325
crawl,7.16325
crawl,6.5365
crawl,6.5365
crawl,6.5365
crawl,6.5365
crawl,6.5365
crawl,6.621
crawl,5.69475
crawl,5.69475
crawl,5.69475
crawl,6.95575
crawl,6.95575
crawl,6.95575
crawl,6.95575
crawl,6.17425
crawl,5.24825
crawl,4.1135
crawl,2.548
crawl,2.548
crawl,2.548
crawl,2.548
crawl,2.548
crawl,2.09125
crawl,2.09125
crawl,2.09125
crawl,2.09125
crawl,2.09125
crawl,3.20775
crawl,3.20775
crawl,3.20775
crawl,3.20775
crawl,2.695
crawl,2.695
crawl,2.695
